Coefficients:
a = 300.00
b = 0.0007
c = 0.16
d = 194.00
e = 4695.00

Initial Points:
x0 = 50.00
x1 = 150.00

Results:
Optimal quantity = 287.52
Maximum profit = 48256.70
Total iterations = 6


Data Points:
Quantity   Revenue      Cost         Profit      
------------------------------------------------
0.00       0.00         4889.00      -4889.00    
20.00      5994.40      4995.95      998.45      
40.00      11955.20     5240.41      6714.79     
60.00      17848.80     5624.49      12224.31    
80.00      23641.60     6150.75      17490.85    
100.00     29300.00     6822.35      22477.65    
120.00     34790.40     7643.10      27147.30    
140.00     40079.20     8617.71      31461.49    
160.00     45132.80     9751.89      35380.91    
180.00     49917.60     11052.63     38864.97    
200.00     54400.00     12528.48     41871.52    
220.00     58546.40     14189.85     44356.55    
240.00     62323.20     16049.50     46273.70    
260.00     65696.80     18122.97     47573.83    
280.00     68633.60     20429.26     48204.34    
300.00     71100.00     22991.59     48108.41    
320.00     73062.40     25838.31     47224.09    
340.00     74487.20     29004.04     45483.16    
360.00     75340.80     32531.06     42809.74    
380.00     75589.60     36471.03     39118.57    
400.00     75200.00     40887.04     34312.96    
420.00     74138.40     45856.15     28282.25    
440.00     72371.20     51472.47     20898.73    
460.00     69864.80     57850.96     12013.84    
480.00     66585.60     65132.02     1453.58     
500.00     62500.00     73487.15     -10987.15   
